entry_ts,entry,exit_ts,exit,reason,bars,rr
2025-08-10T20:25:53.007415,30392.76377976948,2025-08-10T20:40:53.007415,30360.220215116442,sl,2,-1.0
2025-08-11T13:25:53.007415,29078.613875879564,2025-08-11T13:40:53.007415,29076.312879477253,tp1,2,1.2
2025-08-11T13:55:53.007415,29306.690853171887,2025-08-11T13:55:53.007415,29306.690853171887,sl,1,-1.0
2025-08-12T01:40:53.007415,29033.871607928715,2025-08-12T01:40:53.007415,29033.871607928715,sl,1,-1.0
2025-08-12T02:10:53.007415,29110.38744109443,2025-08-12T02:10:53.007415,29110.38744109443,sl,1,-1.0
2025-08-12T02:55:53.007415,29317.457914091872,2025-08-12T02:55:53.007415,29317.457914091872,sl,1,-1.0
2025-08-12T13:25:53.007415,29467.28237751293,2025-08-12T13:55:53.007415,29326.090276589282,sl,3,-1.0
2025-08-12T15:25:53.007415,29293.376739006406,2025-08-12T15:40:53.007415,29298.210423265802,tp1,2,1.2
2025-08-12T15:55:53.007415,29514.06998055784,2025-08-12T16:10:53.007415,29477.965886070808,tp1,2,1.2
2025-08-12T16:25:53.007415,29881.83895214477,2025-08-12T16:55:53.007415,29852.824757017177,sl,3,-1.0
2025-08-12T18:10:53.007415,29923.046441854487,2025-08-12T18:40:53.007415,29791.474172631213,sl,3,-1.0
2025-08-12T23:55:53.007415,30255.78095048346,2025-08-13T00:10:53.007415,30345.170219769723,tp1,2,1.2
2025-08-13T00:25:53.007415,30520.499400026707,2025-08-13T00:25:53.007415,30520.499400026707,tp1,1,1.2
2025-08-13T00:40:53.007415,30669.1345012183,2025-08-13T02:25:53.007415,30641.084486431908,timeout,8,0.0
2025-08-13T02:40:53.007415,30998.766838373984,2025-08-13T02:40:53.007415,30998.766838373984,sl,1,-1.0
2025-08-13T10:55:53.007415,31019.722367119623,2025-08-13T10:55:53.007415,31019.722367119623,sl,1,-1.0
2025-08-13T23:55:53.007415,30574.18699229925,2025-08-13T23:55:53.007415,30574.18699229925,tp1,1,1.2
2025-08-14T00:10:53.007415,30772.562238185135,2025-08-14T01:10:53.007415,30713.205520532374,tp1,5,1.2
2025-08-14T01:25:53.007415,30885.011637465854,2025-08-14T01:25:53.007415,30885.011637465854,tp1,1,1.2
2025-08-14T01:40:53.007415,31015.56510635085,2025-08-14T01:55:53.007415,31144.823968261593,tp1,2,1.2
2025-08-14T02:10:53.007415,31351.232988874013,2025-08-14T02:25:53.007415,31357.66059383635,tp1,2,1.2
2025-08-14T02:40:53.007415,31467.718608969863,2025-08-14T04:10:53.007415,31447.990826222995,tp1,7,1.2
2025-08-14T04:25:53.007415,31780.14250455893,2025-08-14T04:25:53.007415,31780.14250455893,sl,1,-1.0
2025-08-14T05:55:53.007415,31953.630564059957,2025-08-14T06:10:53.007415,31954.86928284061,sl,2,-1.0
2025-08-14T16:40:53.007415,31759.370072812708,2025-08-14T16:55:53.007415,31914.875195648456,tp1,2,1.2
2025-08-14T17:10:53.007415,32261.65943019273,2025-08-14T17:55:53.007415,32317.330910564047,tp1,4,1.2
2025-08-14T18:10:53.007415,32674.405573763706,2025-08-14T18:25:53.007415,32545.619684319718,sl,2,-1.0
2025-08-15T04:40:53.007415,32794.819191208466,2025-08-15T04:40:53.007415,32794.819191208466,tp1,1,1.2
2025-08-15T04:55:53.007415,33085.929100861926,2025-08-15T05:40:53.007415,33322.391077368884,tp1,4,1.2
2025-08-15T05:55:53.007415,33553.753696481224,2025-08-15T05:55:53.007415,33553.753696481224,sl,1,-1.0
2025-08-15T06:10:53.007415,33395.22505118957,2025-08-15T06:25:53.007415,33513.11878821141,tp1,2,1.2
2025-08-15T06:40:53.007415,33693.825627870945,2025-08-15T06:40:53.007415,33693.825627870945,sl,1,-1.0
2025-08-16T16:25:53.007415,30557.545533645363,2025-08-16T16:25:53.007415,30557.545533645363,tp1,1,1.2
2025-08-16T16:55:53.007415,30684.476831273376,2025-08-16T16:55:53.007415,30684.476831273376,sl,1,-1.0
2025-08-17T02:40:53.007415,30765.07645457947,2025-08-17T02:40:53.007415,30765.07645457947,tp1,1,1.2
2025-08-17T02:55:53.007415,31056.851795539846,2025-08-17T03:10:53.007415,30939.800198331654,sl,2,-1.0
2025-08-17T05:40:53.007415,31106.305986740404,2025-08-17T05:55:53.007415,31222.296210728862,tp1,2,1.2
2025-08-17T07:25:53.007415,31807.962625298533,2025-08-17T07:25:53.007415,31807.962625298533,tp1,1,1.2
2025-08-17T07:40:53.007415,32064.52352493742,2025-08-17T08:10:53.007415,31830.702755388265,sl,3,-1.0
2025-08-17T08:55:53.007415,32003.21271212396,2025-08-17T08:55:53.007415,32003.21271212396,sl,1,-1.0
2025-08-18T18:40:53.007415,30481.164560949062,2025-08-18T18:40:53.007415,30481.164560949062,sl,1,-1.0
2025-08-18T20:10:53.007415,30945.87300100029,2025-08-18T20:55:53.007415,31116.270678543617,tp1,4,1.2
2025-08-18T21:10:53.007415,31216.12434108629,2025-08-18T21:10:53.007415,31216.12434108629,sl,1,-1.0
2025-08-18T23:55:53.007415,31165.73937486908,2025-08-18T23:55:53.007415,31165.73937486908,tp1,1,1.2
2025-08-19T00:10:53.007415,31298.80495144457,2025-08-19T00:25:53.007415,31373.79377062652,tp1,2,1.2
2025-08-19T00:40:53.007415,31365.92432719822,2025-08-19T00:40:53.007415,31365.92432719822,sl,1,-1.0
2025-08-19T08:25:53.007415,31601.944597801914,2025-08-19T08:55:53.007415,31748.657415680475,tp1,3,1.2
2025-08-19T09:10:53.007415,32116.766926223736,2025-08-19T09:55:53.007415,32229.194535737,tp1,4,1.2
2025-08-19T10:10:53.007415,32486.959145030505,2025-08-19T10:10:53.007415,32486.959145030505,sl,1,-1.0
2025-08-19T17:10:53.007415,32434.8155948202,2025-08-19T17:10:53.007415,32434.8155948202,sl,1,-1.0
2025-08-19T20:40:53.007415,32713.355927201424,2025-08-19T20:40:53.007415,32713.355927201424,tp1,1,1.2
