entry_ts,entry,exit_ts,exit,reason,bars,rr
2025-08-12T16:25:53.007415,29881.83895214477,2025-08-12T16:55:53.007415,29852.824757017177,sl,3,-1.0
2025-08-13T00:40:53.007415,30669.1345012183,2025-08-13T02:25:53.007415,30641.084486431908,timeout,8,0.0
2025-08-13T02:40:53.007415,30998.766838373984,2025-08-13T02:40:53.007415,30998.766838373984,sl,1,-1.0
2025-08-14T01:40:53.007415,31015.56510635085,2025-08-14T01:55:53.007415,31144.823968261593,tp1,2,1.5
2025-08-14T02:10:53.007415,31351.232988874013,2025-08-14T03:55:53.007415,31574.005949229057,timeout,8,0.0
2025-08-14T04:25:53.007415,31780.14250455893,2025-08-14T04:25:53.007415,31780.14250455893,sl,1,-1.0
2025-08-14T17:10:53.007415,32261.65943019273,2025-08-14T17:55:53.007415,32317.330910564047,tp1,4,1.5
2025-08-14T18:10:53.007415,32674.405573763706,2025-08-14T18:25:53.007415,32545.619684319718,sl,2,-1.0
2025-08-15T04:55:53.007415,33085.929100861926,2025-08-15T05:40:53.007415,33322.391077368884,tp1,4,1.5
2025-08-15T05:55:53.007415,33553.753696481224,2025-08-15T05:55:53.007415,33553.753696481224,sl,1,-1.0
